source,target,route,travel_time,n_trips
115,114,6,150,847
115,114,6X,150,315
115,116,6,90,897
115,116,6X,90,250
116,115,6,90,847
116,115,6X,90,315
116,117,6,90,897
116,117,6X,90,250
117,116,6,90,847
117,116,6X,90,315
117,118,6,60,897
117,118,6X,60,250
118,117,6,60,847
118,117,6X,60,315
118,119,6,60,897
118,119,6X,60,250
119,118,6,60,847
119,118,6X,60,315
119,120,6,90,897
119,120,6X,120,250
120,119,6,90,847
120,119,6X,90,315
120,121,6,90,1392
120,121,6X,90,55
120,125,6X,330,195
121,120,6,60,1282
121,122,6,90,1392
121,122,6X,90,55
122,121,6,60,1282
122,123,6,60,1392
122,123,6X,60,55
123,122,6,60,1282
123,124,6,90,1392
123,124,6X,120,55
124,123,6,90,1282
124,125,6,120,1392
124,125,6X,120,55
125,120,6,330,45
125,120,6X,330,315
125,124,6,90,1282
125,126,6,90,1392
125,131,6X,420,250
126,125,6,90,1327
126,127,6,90,1392
127,126,6,90,1327
127,128,6,60,1392
128,127,6,60,1327
128,129,6,120,1392
129,128,6,120,1327
129,130,6,60,1392
130,129,6,60,1327
130,131,6,90,1392
131,125,6X,390,315
131,130,6,90,1327
131,132,6,180,1412
131,132,6X,180,250
132,58,4,270,90
132,106,4,150,1102
132,106,5,150,763
132,106,5X,150,100
132,131,6,180,1347
132,131,6X,180,315
132,133,4,90,103
132,133,6,90,1412
132,133,6X,90,250
132,137,4,270,1089
132,137,5,270,863
133,132,4,90,96
133,132,6,90,1347
133,132,6X,90,315
133,134,4,90,103
133,134,6,60,1412
133,134,6X,60,250
134,133,4,90,96
134,133,6,60,1347
134,133,6X,60,315
134,135,4,60,103
134,135,6,60,1412
134,135,6X,60,250
135,134,4,60,96
135,134,6,60,1347
135,134,6X,60,315
135,136,4,90,103
135,136,6,90,1412
135,136,6X,90,250
136,135,4,90,96
136,135,6,90,1347
136,135,6X,90,315
136,137,4,120,103
136,137,6,120,1412
136,137,6X,120,250
137,132,4,270,1096
137,132,5,270,763
137,132,5X,300,100
137,136,4,120,96
137,136,6,120,1347
137,136,6X,120,315
137,138,4,90,103
137,138,6,90,1412
137,138,6X,90,250
137,140,4,210,1089
137,140,5,210,863
138,137,4,90,96
138,137,6,90,1347
138,137,6X,90,315
138,139,4,120,103
138,139,6,90,1412
138,139,6X,90,250
139,138,4,90,96
139,138,6,90,1347
139,138,6X,90,315
139,140,4,90,103
139,140,6,90,1412
139,140,6X,90,250
140,137,4,210,1096
140,137,5,210,763
140,137,5X,210,100
140,139,4,120,96
140,139,6,90,1347
140,139,6X,90,315
140,141,4,90,103
140,141,6,90,1412
140,141,6X,90,250
140,142,4,150,1089
140,142,5,150,863
140,166,N,270,896
140,166,W,270,485
140,312,R,330,781
140,402,N,90,891
140,402,R,90,781
140,402,W,90,490
141,140,4,90,96
141,140,6,90,1347
141,140,6X,90,315
141,142,4,120,103
141,142,6,120,1412
141,142,6X,120,250
141,167,E,180,1235
141,167,M,180,575
141,275,E,90,1235
141,275,M,90,575
142,25,GS,90,1866
142,140,4,120,1096
142,140,5,120,763
142,140,5X,150,100
142,141,4,90,96
142,141,6,90,1347
142,141,6X,120,315
142,143,4,120,103
142,143,6,120,1412
142,143,6X,120,250
142,146,4,210,1089
142,146,5,240,863
142,169,7,270,1721
142,169,7X,270,325
142,170,7,90,1831
142,170,7X,90,215
143,142,4,120,96
143,142,6,120,1347
143,142,6X,120,315
143,144,4,60,103
143,144,6,60,1412
143,144,6X,60,250
144,143,4,60,96
144,143,6,60,1347
144,143,6X,60,315
144,145,4,60,103
144,145,6,60,1412
144,145,6X,60,250
145,144,4,60,96
145,144,6,60,1347
145,144,6X,60,315
145,146,4,90,103
145,146,6,90,1412
145,146,6X,90,250
146,30,L,90,1354
146,142,4,210,1096
146,142,5,210,763
146,142,5X,240,100
146,145,4,120,96
146,145,6,90,1347
146,145,6X,90,315
146,147,4,90,103
146,147,6,90,1412
146,147,6X,90,250
146,150,N,240,580
146,150,Q,240,914
146,151,4,270,1089
146,151,5,270,863
146,247,N,180,545
146,247,Q,150,942
146,354,L,30,1354
146,406,N,90,351
146,406,Q,90,145
146,406,R,90,786
146,406,W,120,485
