source,target,route_id,travel_time
248,249,F,90
248,249,FX,90
249,248,F,90
249,248,FX,120
249,250,F,90
249,250,FX,90
250,249,F,90
250,249,FX,90
250,251,F,120
250,251,FX,120
251,250,F,120
251,250,FX,120
251,252,F,120
251,252,FX,120
252,251,F,90
252,251,FX,120
252,253,F,120
252,253,FX,120
253,57,F,90
253,57,FX,90
253,252,F,120
253,252,FX,150
254,255,F,90
254,255,FX,90
254,256,E,150
255,254,F,120
255,254,FX,120
255,256,F,120
255,256,FX,120
256,254,E,180
256,255,F,90
256,255,FX,90
256,257,F,60
256,257,FX,90
256,259,E,210
257,256,F,60
257,256,FX,90
257,258,F,120
257,258,FX,120
258,257,F,60
258,257,FX,90
258,259,E,90
258,259,F,90
258,259,FX,120
258,280,E,90
259,258,E,120
259,258,F,120
259,258,FX,120
259,260,E,90
259,260,F,90
259,260,FX,90
260,259,E,90
260,259,F,90
260,259,FX,90
260,261,E,90
260,261,F,120
260,261,FX,120
261,260,E,120
261,260,F,120
261,260,FX,120
261,262,E,90
261,262,M,90
261,262,R,90
261,616,F,420
261,616,FX,420
262,261,E,90
262,261,M,90
262,261,R,90
262,263,E,120
262,263,M,90
262,263,R,90
263,262,E,120
263,262,M,90
263,262,R,90
263,264,E,60
263,264,M,60
263,264,R,60
264,263,E,60
264,263,M,60
264,263,R,60
264,265,E,120
264,265,M,90
264,265,R,90
265,264,E,120
265,264,M,90
265,264,R,90
265,266,E,90
265,266,M,90
265,266,R,90
266,265,E,90
266,265,M,90
266,265,R,90
266,616,E,90
266,616,M,90
266,616,R,90
268,269,E,90
268,269,M,90
268,269,R,90
268,616,E,90
268,616,M,90
268,616,R,90
269,268,E,60
269,268,M,60
269,268,R,60
269,270,E,90
269,270,M,90
269,270,R,90
270,269,E,90
270,269,M,90
270,269,R,90
270,271,E,90
270,271,M,90
270,271,R,90
271,270,E,90
271,270,M,90
271,270,R,90
271,272,E,120
271,272,M,120
271,272,R,120
272,271,E,120
272,271,M,120
272,271,R,120
272,273,E,120
272,273,M,120
272,273,R,120
273,272,E,120
273,272,M,120
273,272,R,120
273,606,E,90
273,606,M,90
273,613,R,330
276,225,M,120
276,277,E,90
276,612,E,90
276,612,M,90
277,162,E,90
277,225,B,90
277,225,D,90
277,276,E,60
277,614,B,120
277,614,D,90
278,279,E,90
278,279,J,60
278,279,Z,60
279,80,J,240
279,80,Z,240
279,278,E,120
279,278,J,60
279,278,Z,60
279,280,E,120
280,258,E,90
280,279,E,120
282,283,G,150
282,606,G,60
283,282,G,150
283,284,G,60
284,283,G,60
284,629,G,150
286,287,G,60
286,629,G,60
287,286,G,60
287,288,G,60
288,287,G,60
288,289,G,90
289,288,G,90
289,290,G,60
290,289,G,60
290,291,G,90
291,290,G,90
291,292,G,90
292,175,G,90
292,291,G,90
293,294,1,90
294,293,1,90
294,295,1,90
295,294,1,90
295,296,1,90
296,295,1,90
296,297,1,90
297,296,1,90
297,298,1,60
298,297,1,60
298,299,1,90
299,298,1,90
299,300,1,90
300,299,1,60
300,301,1,90
301,300,1,90
301,605,1,120
303,304,1,120
303,605,1,90
304,303,1,120
304,305,1,90
305,304,1,90
305,306,1,90
306,305,1,120
306,307,1,120
307,306,1,120
307,308,1,60
308,307,1,60
308,309,1,60
309,308,1,90
309,310,1,120
310,309,1,90
310,311,1,120
310,311,2,120
310,313,3,150
310,441,2,240
310,441,3,240
311,310,1,90
311,310,2,90
311,312,1,60
311,312,2,60
312,311,1,60
312,311,2,60
312,313,1,90
312,313,2,90
313,310,3,150
313,312,1,90
313,312,2,90
313,314,1,90
313,314,2,90
313,611,3,240
314,313,1,60
314,313,2,60
314,614,1,90
314,614,2,90
316,611,1,90
316,611,2,90
316,614,1,120
316,614,2,120
318,319,1,60
318,319,2,60
318,601,3,150
318,611,1,90
318,611,2,60
318,611,3,60
319,318,1,60
319,318,2,90
319,320,1,60
319,320,2,60
320,319,1,60
320,319,2,60
320,321,1,60
320,321,2,60
321,320,1,60
321,320,2,60
321,601,1,60
321,601,2,60
323,324,1,90
323,324,2,90
323,601,1,90
323,601,2,90
324,323,1,90
324,323,2,90
324,325,1,90
324,325,2,120
325,324,1,90
325,324,2,90
325,326,1,60
325,326,2,60
326,325,1,60
326,325,2,60
326,327,1,60
326,327,2,60
327,326,1,60
327,326,2,90
327,328,1,90
327,601,3,240
327,624,2,60
327,624,3,60
328,327,1,60
328,329,1,90
329,328,1,60
329,635,1,120
333,334,2,270
333,334,3,270
333,628,2,60
333,628,3,60
334,333,2,180
334,333,3,180
334,620,2,60
334,620,3,60
336,337,2,60
336,337,3,60
336,620,2,90
336,620,3,90
337,336,2,90
337,336,3,90
337,617,2,90
337,617,3,90
337,617,4,90
337,617,5,90
337,620,4,90
337,620,5,90
337,620,5X,120
339,340,2,90
339,340,3,90
339,340,4,90
